method,method_label,eps,ref_real,ref_imag,est_real,est_imag
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.92084897,-1.0217665
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.44781372,0.18429463
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.9283556,-0.9728871
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.98503685,0.8864394
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.42136982,-0.31095105
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.36114174,-0.927217
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.9872292,-0.85322523
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.27545202,-0.96510154
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.2918364,-0.9529111
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.22586477,-0.350349
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.25461096,0.43584514
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.2744568,0.36644745
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.52408004,-0.32827818
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.2306265,1.1079284
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.34504858,0.86177254
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.31006527,-0.45542383
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.35628495,-0.8869337
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.36167264,-1.1088233
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.8636644,-0.46633327
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-1.023072,0.9842869
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.24317083,-0.22966935
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.92260593,0.73946935
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.29745278,0.8473097
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.33724326,0.9045707
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.19732597,-0.15301955
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.33453605,-1.0202771
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.3438404,-0.9470878
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.1955458,-0.25052312
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.9711639,0.97780347
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.3029501,0.9007948
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.91481996,0.99124295
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.16410333,-0.27180356
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.9657825,0.83449984
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.4329608,0.9348994
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.87348545,0.22234808
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-1.0403181,-0.968115
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,1.0001622,0.4205906
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.26057938,0.37485906
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.94258714,0.26896212
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.90881234,-0.21621624
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.4042502,0.3655421
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.87822914,-0.8326308
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.93884414,0.35235327
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.98207563,0.8628118
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.38161296,0.38021463
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.81433725,-0.37704548
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-1.0943246,-0.38576385
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.8074292,0.24912515
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.3229609,0.8165537
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.9050152,0.9412728
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-1.0413734,0.9231898
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.39665058,-0.49544135
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-1.0256586,0.25664952
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.8266438,-0.5012361
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-1.0331413,0.4046574
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.8841245,0.87995464
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-1.0063589,0.9012356
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.25184992,0.27351657
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.28724125,0.26138487
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.81970304,0.45008668
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.0368319,-0.19477239
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.6056771,0.30799267
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.92648923,0.7924351
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.88431305,0.33944926
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.18610564,0.3544912
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.26300624,-0.3272123
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.9115927,1.080056
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.323089,0.99844885
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.82799095,0.98591346
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.2572018,1.0578223
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.3740896,1.0338137
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.9439024,-0.26691198
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.90128326,0.332363
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.9832397,0.92893577
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.43996853,-0.2753774
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-1.0259134,0.29550335
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.26500082,0.82667375
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.88191444,0.24389488
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.28825775,-0.2754624
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.0230246,-0.4061681
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.64397943,0.47760713
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.2568623,-0.25169843
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.31266955,-1.0189517
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.81519043,0.93313247
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.32626885,0.9554797
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.20868205,-1.0428741
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.41694248,0.1272801
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.8450377,-0.34824404
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.36263013,0.4227723
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.9428717,0.7980489
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.9207093,-0.95377165
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.87461144,-0.37747288
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.36036184,-0.3388402
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.94839257,0.9374276
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.98060846,-1.0627786
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.45654517,0.20002694
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.3095958,-0.3600763
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.319979,-1.0358226
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.2684263,-0.48380446
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.3880897,0.9389152
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.1894333,-0.9335161
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.444217,-0.417508
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.8250068,0.31349203
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.9798298,0.9588904
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.24251473,1.0202148
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.031872,0.9667895
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.19502077,-0.2833545
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.26772693,-0.3283026
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.4399994,-0.32376418
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.16925916,-0.35217026
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.1615558,-0.36155936
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.33415428,-1.004348
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.32359788,1.0775824
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.33955917,0.9088988
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,0.8728155,-0.932066
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.2480906,-0.35468352
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.9000844,-0.94697326
OFDM,Classical OFDM,0.0,0.31622776,0.31622776,0.2819991,0.18173257
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.8133776,1.0986621
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.38961077,-0.917947
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.2976191,-0.9472984
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.0128381,0.8756759
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-1.0628021,0.26900804
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-0.8137871,0.30299908
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.38969314,-0.3224918
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.3302963,-0.96555704
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.073787,-0.30392998
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,0.7799833,0.89741063
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.44794208,1.1857749
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.39588428,0.40967703
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-1.177971,1.171215
OFDM,Classical OFDM,0.0,0.31622776,-0.94868326,0.2344386,-0.9332616
OFDM,Classical OFDM,0.0,-0.31622776,-0.31622776,-0.2660152,-0.30740523
OFDM,Classical OFDM,0.0,-0.94868326,0.31622776,-1.0891691,0.2778204
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.839981,-0.9334761
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,0.9327092,-0.3259733
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.29290217,0.9183804
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.36219937,-0.21628547
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.44871667,0.8743176
OFDM,Classical OFDM,0.0,-0.31622776,-0.94868326,-0.36111593,-1.0012478
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.43494135,1.0198873
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.8002037,-0.40357825
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.94563293,-0.8329561
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.0141017,-0.3242018
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.92843354,-1.0143894
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.35679457,0.3398198
OFDM,Classical OFDM,0.0,0.94868326,0.94868326,1.0346899,1.0592513
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.7276983,-0.8018326
OFDM,Classical OFDM,0.0,0.31622776,0.94868326,0.26714575,1.1224867
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.89019865,-0.9430802
OFDM,Classical OFDM,0.0,-0.94868326,-0.31622776,-0.6874726,-0.156334
OFDM,Classical OFDM,0.0,-0.94868326,0.94868326,-0.8460425,0.9774816
OFDM,Classical OFDM,0.0,0.94868326,-0.31622776,1.1206483,-0.47397858
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.43088546,0.1909524
OFDM,Classical OFDM,0.0,0.94868326,-0.94868326,1.0371696,-0.9275585
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.24263701,0.94182897
OFDM,Classical OFDM,0.0,-0.94868326,-0.94868326,-0.97884274,-0.9228575
OFDM,Classical OFDM,0.0,0.31622776,-0.31622776,0.1935174,-0.5252442
OFDM,Classical OFDM,0.0,-0.31622776,0.31622776,-0.20883363,0.47315493
OFDM,Classical OFDM,0.0,-0.31622776,0.94868326,-0.19379683,0.9944357
OFDM,Classical OFDM,0.0,0.94868326,0.31622776,0.89451605,0.3728882
