method,modulation,N,M,K,R,N_data,N_pilots,N_guard,payload_region_fraction,payload_fraction,train_ebn0_db,eval_ebn0_db,eps,ber,ser,evm,bit_errors,bit_total,pilot_symbol_mse,cfo_est_mae,cfo_est_bias,mean_estimated_eps,method_label
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.10538194444444444,0.40789930555555554,0.3727714791893959,4856,46080,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.1008029513888889,0.36909722222222224,0.3764442801475525,4645,46080,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.1,0.10084635416666667,0.3691840277777778,0.37644127756357193,4647,46080,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.08,0.06501736111111112,0.2555555555555556,0.3096906617283821,2996,46080,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.08,0.0715060763888889,0.27708333333333335,0.3114907070994377,3295,46080,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.08,0.07139756944444445,0.27682291666666664,0.3114876076579094,3290,46080,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.060000000000000005,0.026931423611111113,0.10677083333333334,0.2479475997388363,1241,46080,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.060000000000000005,0.03658854166666667,0.1453125,0.24893565475940704,1686,46080,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.060000000000000005,0.0365234375,0.14505208333333333,0.24893317371606827,1683,46080,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.04000000000000001,0.005577256944444445,0.02230902777777778,0.18877795711159706,257,46080,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.04000000000000001,0.009874131944444444,0.039496527777777776,0.19271650910377502,455,46080,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.04000000000000001,0.009852430555555555,0.03940972222222222,0.1927134208381176,454,46080,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.020000000000000004,0.0006727430555555556,0.002690972222222222,0.14315683394670486,31,46080,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.020000000000000004,0.0008680555555555555,0.0034722222222222225,0.14809943735599518,40,46080,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,-0.020000000000000004,0.0008680555555555555,0.003472222222222222,0.14809837937355042,40,46080,,,,,Learned + Nonlinear RX
OFDM,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00015190972222222222,0.0006076388888888889,0.12503044120967388,7,46080,,,,,Classical OFDM
Learned,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00015190972222222222,0.0006076388888888889,0.12993566691875458,7,46080,,,,,Learned Basis
LearnedNonlinear,16QAM,45,64,50,5,45,4,10,0.78125,0.703125,15.0,12.0,0.0,0.00015190972222222222,0.0006076388888888889,0.1299334242939949,7,46080,,,,,Learned + Nonlinear RX
